Consent,Prior coding experience,Frequency of AI use in this course ,Helpfulness of generative AI  [Suggesting R code to solve problems],Helpfulness of generative AI  [Explaining R code syntax and logic],Helpfulness of generative AI  [Improving code comments and readability],Helpfulness of generative AI  [Brainstorming research questions with NEON metagenomic data],"Helpfulness of generative AI  [‘Vibe code’: generating statistical, network, or other advanced analyses]",Helpfulness of generative AI  [Data wrangling with MAG taxonomy + genome properties + soil chemistry],"Helpfulness of generative AI  [Understanding outputs (plots, statistics, model diagnostics)]",Helpfulness of generative AI  [Using RStudio via OpenOnDemand on the HPC],Could you give short examples of a helpful AI response,Could you give short examples of unhelpful or incorrect AI responses ,Impact on learning [AI made learning R easier],Impact on learning [AI helped me understand R syntax and functions],Impact on learning [AI increased my confidence in writing R code],Impact on learning [AI helped me learn from errors more efficiently],Impact on learning [AI encouraged me to try more complex tasks than I would have otherwise],Impact on metagenomics learning  [AI improved my understanding of MAG taxonomy],Impact on metagenomics learning  [AI helped connect genome properties with soil chemistry],Impact on metagenomics learning  [AI improved my ability to form testable questions using NEON data], Impact on metagenomics learning  [AI helped me interpret R outputs for metagenomics],Impact on metagenomics learning  [AI improved my overall conceptual grasp of metagenomics],Confidence change in programming in R,How much time did using AI save me,Code quality outcomes using AI [My code became more correct (fewer errors)],"Code quality outcomes using AI [My code became more readable (better comments, structure)]",Code quality outcomes using AI [My code became more efficient (faster/simpler)],"Code quality outcomes using AI [My analyses became more reproducible (clear steps, scripts)]",Code quality outcomes using AI [I relied on AI but still validated results],Frequency of incorrect AI output ,"When AI was wrong, I typically… ",Common issues encountered ,Trust calibration [I can usually tell when AI is wrong],Trust calibration [I know how to verify AI-generated code],Trust calibration [AI responses are transparent about uncertainty/limitations],Trust calibration [AI sometimes overstates confidence in its answers],Ethical alignment  [Using AI in this course felt appropriate and ethical],Ethical alignment  [Clear guidelines were provided for AI use],"Ethical alignment  [AI use encouraged learning, not shortcuts]",Ethical alignment  [I understand when/how to credit AI assistance],Did you become more engaged or interactive in solving problems using AI?,Inquiry & exploration [AI helped me identify novel questions using NEON geographic variation],Inquiry & exploration [AI helped me connect MAGs to environmental gradients],Inquiry & exploration [AI exposed me to new analytical methods],Inquiry & exploration [AI helped me scope feasible workflows for our data]," ""Vibe code"" outcomes [AI-generated advanced code was runnable in our environment]"," ""Vibe code"" outcomes [I understood at least the core idea of the advanced methods]"," ""Vibe code"" outcomes [I could critically evaluate the appropriateness of those methods]"," ""Vibe code"" outcomes [I would be able to reproduce the analysis later with notes]",Clarity of instructions on AI use ,Where more support would help ,Suggested changes for future offerings,Overall effectiveness of AI in this course ,Likelihood to recommend AI use in similar courses ,Final comments and suggestions
"Yes, I consent to participate in this survey",None,A few times per week,Extremely helpful,Very helpful,Very helpful,Extremely helpful,Extremely helpful,Moderately helpful,Moderately helpful,Very helpful,"AI has been helpful in providing responses to fix my coding errors For example, I would tell CoPilot the code I was trying to run, and say it was not working and enter the specific ""Error:"" I was getting Copilot would then send back the correct code (most of the time), and explain where I went wrong which was really helpful so that I would not make the same mistake again","There have been times where Copilot was wrong I would have to work with it back and forth, and say things like ""No, that is not correct The error:  is coming up"", etc However, after I explained more, it would show me the correct code (most of the time)",Strongly agree,Strongly agree,Neutral,Agree,Strongly agree,Agree,Neutral,Agree,Agree,Agree,Higher,2-3 hrs,Strongly agree,Strongly agree,Neutral,Strongly agree,Disagree,Sometimes,"Ran and tested the code in R, Checked documentation or help pages, Asked follow-up questions to the AI, Consulted classmates, Consulted the instructor","Incorrect R syntax or arguments, Overcomplicated solutions, Misinterpretation of MAG/soil data",Neutral,Strongly agree,Disagree,Agree,Agree,Agree,Agree,Agree,Much more engaged,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strong agree,Agree,Agree,Agree,Clear,"Prompting strategies, Verifying AI output, Integrating AI with R","I would say there is not much to change, I think AI definitely brought my abilities of working with R to the next level The only thing I'd recommend is going over how to verify the AI outputs because sometimes I would get the wrong code or have to install packages that we do not need for this class",8,5,This has been a great semester! This class was super interesting!
"Yes, I consent to participate in this survey",Some (one course or self-study),I tried it once or twice,Very helpful,Very helpful,Extremely helpful,Very helpful,Very helpful,Moderately helpful,Very helpful,Very helpful,I was having trouble finding code to help me build a PCA plot for the MAG data set I upload the code that I already had as well as the MAG csv file and AI was able to give me a better code that also gave me instructions on what to change That was very helpful and allowed me to see what I was doing wrong,"In the beginning of the class, using AI was a challenge because I did not know the proper formatting or syntax I would as AI to give me code to transform a data set but not really understand what was being done An example of this was me using the ""merge"" function instead ""left join""",Neutral,Agree,Agree,Agree,Strongly agree,Neutral,Agree,Neutral,Agree,Neutral,Higher,1-2 hrs,Agree,Neutral,Agree,Agree,Agree,Sometimes,"Ran and tested the code in R, Asked follow-up questions to the AI, Consulted classmates, Consulted the instructor, Other - Looked up the code online","Incorrect R syntax or arguments, Overcomplicated solutions",Agree,Agree,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Slightly more engaged,Agree,Agree,Agree,Agree,Strong agree,Agree,Agree,Agree,Clear,"Prompting strategies, Debugging with AI, Verifying AI output, Integrating AI with R",I would think it would be great if we could get to the MAG data earlier in the class and learn more about different metagenomic analyses ,8,8,Thanks for a great semester! 
"Yes, I consent to participate in this survey",None,A few times per week,Extremely helpful,Very helpful,Extremely helpful,Very helpful,Moderately helpful,Very helpful,Moderately helpful,Moderately helpful,"I usually used AI to correct errors within the code I created, so a helpful response would be something along the lines of ""I see the problem is ______ which can be solved by _______""","If I used AI to generate new code, it would often assume file/column names When I input my edited code (with corrected file and column names), it would solve problems in the code but still using the file names it originally created  Not a terrible issue, just annoying",Agree,Neutral,Neutral,Strongly agree,Strongly agree,Neutral,Agree,Strongly agree,Strongly agree,Agree,Higher,3+ hrs,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Sometimes,"Ran and tested the code in R, Checked documentation or help pages, Asked follow-up questions to the AI, Consulted classmates","Incorrect R syntax or arguments, Overcomplicated solutions, Misinterpretation of MAG/soil data",Agree,Strongly agree,Agree,Strongly agree,Agree,Neutral,Neutral,Agree,Slightly more engaged,Agree,Agree,Strongly agree,Strongly agree,Strong agree,Strong agree,Neutral,Agree,Clear,"Verifying AI output, Ethics & citation, Advanced analyses","I think it was sometimes confusing to know exactly how to cite AI in the course, so more clarity on when/how it should be used in the earlier labs would be helpful",7,6,"I feel like the effectiveness of AI in this course varies between students, so this survey is very interesting! I could see AI inhibiting learning if students used it heavily in the beginning of the course when we focused on R basics, because then that work is just busy work I feel like I learned the most from the beginning of the course just using AI as an occasional troubleshooting tool, but depending on AI from the start would have been detrimental"
"Yes, I consent to participate in this survey",None,Daily,Extremely helpful,Extremely helpful,Very helpful,Extremely helpful,Moderately helpful,Moderately helpful,Moderately helpful,Moderately helpful,"it would give options on how to improve or fix the code and when taking a screenshot of my code & the errors, it was almost always helpful with helping me fix the issues",sometimes it would make the code too long & complicated when it could really be more concise & it became really challenging when trying to use Al to help with uploading thing like soilChem and definitely NEONmag,Neutral,Disagree,Disagree,Neutral,Agree,Neutral,Neutral,Agree,Agree,Neutral,About the same,3+ hrs,Agree,Agree,Agree,Agree,Agree,Sometimes,"Ran and tested the code in R, Checked documentation or help pages, Asked follow-up questions to the AI, Consulted classmates, Consulted the instructor","Incorrect R syntax or arguments, Overcomplicated solutions, Misinterpretation of MAG/soil data",Neutral,Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Much more engaged,Agree,Agree,Strongly agree,Agree,Agree,Neutral,Neutral,Disagree,Clear,"Prompting strategies, Debugging with AI, Verifying AI output, Integrating AI with R, Advanced analyses",I know students will use Al to help them in this course in one way or another but if there's a way to help improve learning I know many  of us had no background use of coding at all and we kind of jumped in quickly so I would depend on Al a lot to simply just get my work done ,9,9,
"Yes, I consent to participate in this survey",Very limited (a few tutorials or labs),A few times per week,Extremely helpful,Very helpful,Very helpful,Moderately helpful,Extremely helpful,Very helpful,Moderately helpful,Not helpful,"When I'd get an error, I'd give it to AI and often, it could tell me what I did wrong and how to fix it","Sometimes, AI would suggest code that included words/phrases that weren't in the data set, so I struggled to know what I should enter instead",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Agree,Strongly agree,Strongly agree,Much higher,3+ hrs,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Sometimes,"Ran and tested the code in R, Asked follow-up questions to the AI, Consulted classmates, Ignored or discarded AI suggestions",Misinterpretation of MAG/soil data,Neutral,Agree,Disagree,Neutral,Agree,Strongly agree,Agree,Agree,Slightly more engaged,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Very clear,Prompting strategies,,10,10,AI helped me understand and learn a lot more in this course than I could have otherwise without it!
"Yes, I consent to participate in this survey",Very limited (a few tutorials or labs),Daily,Extremely helpful,Extremely helpful,Extremely helpful,Extremely helpful,Very helpful,Very helpful,Extremely helpful,Moderately helpful,"Often times I will just input my error messages into AI (specifically ChatGPT) and even without seeing my original code, it generates a successful fix for my code  Chat has been very successful in providing code fixes and formats on how to code certain things","I was trying to join two data sets but the IDs in the data sets had slightly different suffixes  The suggestion that AI was giving me wasn't working in removing the suffix but it kept going around in the same circle  Eventually, AI was able to make the join work but I am not sure how",Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Higher,3+ hrs,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Sometimes,"Ran and tested the code in R, Checked documentation or help pages, Asked follow-up questions to the AI, Consulted classmates, Consulted the instructor, Ignored or discarded AI suggestions","Hallucinated functions or packages, Misinterpretation of MAG/soil data",Agree,Agree,Neutral,Strongly agree,Agree,Neutral,Disagree,Agree,Slightly less engaged,Agree,Agree,Agree,Agree,Strong agree,Strong agree,Neutral,Neutral,Clear,"Debugging with AI, Ethics & citation","AI skyrocketed my coding capabilities  However, I don't feel very confident in coding without AI  This class would benefit from spending more time on ingraining R/coding basics before moving to advanced R coding and metagenomic analysis  Maybe the first half of the course could be ingraining both the basics in code and metagenomic analysis and the second half could be the explosive, exciting, AI based coding and analysis  Using AI was a world-opening experience for me in coding  ",10,10,See suggested changes for future offerings
"Yes, I consent to participate in this survey",None,A few times per week,Very helpful,Very helpful,Very helpful,Very helpful,Extremely helpful,Very helpful,Very helpful,Moderately helpful,"I thought the most helpful Ai responses were the ones that gave me step by step instructions for the type of code to generate depending on the prompt By breaking it down, I could understand the point of each chunk",I found that some of the unhelpful/incorrect Ai responses typically had to do with sometimes I felt like it did not listen to my requests or it would suggest troubleshooting techniques that would not work ,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Higher,2-3 hrs,Agree,Agree,Agree,Neutral,Agree,Sometimes,"Ran and tested the code in R, Asked follow-up questions to the AI, Other – try to fix on my own","Incorrect R syntax or arguments, Misinterpretation of MAG/soil data, Ethical concerns",Neutral,Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Slightly more engaged,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Clear,"Prompting strategies, Verifying AI output, Ethics & citation",N/A,7,7,This was a very cool class! 
"Yes, I consent to participate in this survey",None,A few times per week,Extremely helpful,Extremely helpful,Very helpful,Extremely helpful,Very helpful,Extremely helpful,Very helpful,Moderately helpful,Putting in error code from R would 85% of the time be resolvable through AI directly Otherwise I could ask for alternative methods to alter my code,"When AI would try to overcomplicate analysis (that would not run) and make me download a bunch of new libraries for one prompt By the end of lab 13 I have library(ggfortify), library(vegan), library(plotly), library(respirometry), library(ggplot2), and library(corrplot) ",Agree,Neutral,Agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Higher,3+ hrs,Agree,Agree,Strongly agree,Agree,Agree,Sometimes,"Ran and tested the code in R, Asked follow-up questions to the AI, Consulted the instructor, Ignored or discarded AI suggestions","Incorrect R syntax or arguments, Overcomplicated solutions, Confident but unsupported claims",Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Slightly more engaged,Agree,Strongly agree,Strongly agree,Agree,Agree,Strong agree,Strong agree,Agree,Clear,"Debugging with AI, Verifying AI output","Ask people to discuss there code, or allow for people to do independent projects I really enjoyed the last lab that was open ended If we did the end of year project I think that I would have been able to utilize all the skills that I learned",9,8,"Using on AI was appropriate in this course, but I don't think that it would be effective in every course I attached my mycology class analysis in the comments if you are interested in the analysis I did I presented the information to my class :) I really enjoyed the skills that I learned in this class and will be adding to my resume! Thank you for an amazing semester "
"Yes, I consent to participate in this survey",None,Daily,Extremely helpful,Extremely helpful,Extremely helpful,Very helpful,Very helpful,Extremely helpful,Very helpful,Very helpful,"I would ask it to help me with something, and then it would output the code and the reasoning behind the code and how it works","Sometimes it would output code that did not do what I wanted it to do; then I would have to refine it and tell it to redo it until it got it right Also, sometimes the graphs or figures it would make would be cramped together and not legible",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Higher,3+ hrs,Agree,Agree,Agree,Agree,Agree,Sometimes,"Ran and tested the code in R, Asked follow-up questions to the AI","Overcomplicated solutions, Misinterpretation of MAG/soil data",Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Slightly more engaged,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Strongly disagree,Neutral,"Verifying AI output, Advanced analyses","I would suggest more instruction for how to ask AI questions to get the results you want Also, more help to verify if the results that the AI produced is actually what you want / answers the question how you wanted it answered Also, how to make AI create more legible graphs where the labels or axes are not all clumped together so much",8,8,"I wish there was less of a need to use AI in this course, but once things started getting complicated it was very hard to do anything without the use of AI, especially considering most of us in the class had no experience with coding of any sort For example, I did not use AI for the first couple of labs, and that was on purpose because I did not want to have to rely on AI for everything I did The first couple of labs were manageable to do without the use of AI, and they were just challenging enough where I was actually learning a lot of the basics of coding However, after a certain point, I felt I needed to use AI to get the work done because the level of difficulty increased too much for me to figure out the coding on my own After that point, I relied on AI too much, and I wasn't learning anymore "
"Yes, I consent to participate in this survey",None,Daily,Extremely helpful,Moderately helpful,Extremely helpful,Very helpful,Very helpful,Extremely helpful,Very helpful,Very helpful,It helped me be able to make graphs and complete exercises It helped me understand what was going on in general And it always showed different ways to write the code,AI made some graphs that were not accurate or did not have a good set up Also certain commands it was not good at using,Strongly agree,Agree,Strongly agree,Agree,Disagree,Neutral,Agree,Neutral,Neutral,Agree,Higher,3+ hrs,Strongly agree,Strongly agree,Neutral,Strongly agree,Agree,Sometimes,"Asked follow-up questions to the AI, Consulted classmates, Consulted the instructor","Incorrect R syntax or arguments, Overcomplicated solutions, Misinterpretation of MAG/soil data",Disagree,Disagree,Neutral,Agree,Strongly agree,Strongly agree,Neutral,Agree,Slightly more engaged,Agree,Agree,Agree,Agree,Neutral,Disagree,Neutral,Disagree,Very clear,"Prompting strategies, Debugging with AI",More help with learning how to write code on your own before working AI into the course I feel like maybe the first few classes should be without AI and trying to do things on your own and the bring AI in to help make more advanced code ,10,10,"I really did enjoy the course overall, I like the room and set up of working with a group I think Dr Blanchard was helpful when I went to office hours or needed help in class I wish we learned a few more basic coding steps because I think I relied on AI too much I still think it should be a big part of the course but just that a little more coding without it at the start"
"Yes, I consent to participate in this survey",Very limited (a few tutorials or labs),A few times per week,Extremely helpful,Slightly helpful,Very helpful,Moderately helpful,Very helpful,Moderately helpful,Very helpful,Very helpful,Having an idea on how you want data to be analyzed but not being sure of what kind of graphic would be best suited for that AI can suggest a few different methods and write the bulk of the code required to set the graphic up in RStudio,For some of the more complicated data analysis there will be some lines where you get an error and try to use AI to solve it However it can't solve it (maybe due to package/R version incompatibility) and you end up going down a rabbit hole and wasting time,Agree,Neutral,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Much higher,2-3 hrs,Agree,Agree,Agree,Agree,Agree,Sometimes,"Ran and tested the code in R, Asked follow-up questions to the AI, Consulted classmates, Consulted the instructor","Incorrect R syntax or arguments, Overcomplicated solutions, Misinterpretation of MAG/soil data",Agree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Agree,Slightly more engaged,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Clear,"Prompting strategies, Debugging with AI, Verifying AI output","Using some measure to prevent over reliance on AI to write all the code without understanding it Maybe having fewer exercises per lab, but requiring students to annotate their code and explain what was accomplished by the finished code",8,5,I think AI has its place in the modern world but that place is not everywhere I understand the potential AI has for making coding more accessible for newcomers but it should not eliminate the learning process A balance needs to be found between AI use and organic learning
"Yes, I consent to participate in this survey",None,Daily,Moderately helpful,Extremely helpful,Not helpful,Moderately helpful,Moderately helpful,Slightly helpful,Very helpful,Very helpful,"Troubleshooting issues was when I found AI most effective, rendering problems and trying to understand coding terms ","Would over-complicate simple exercises, adding unnecessary steps ",Agree,Agree,Neutral,Neutral,Disagree,Strongly disagree,Strongly disagree,Neutral,Neutral,Strongly disagree,About the same,3+ hrs,Agree,Neutral,Disagree,Neutral,Neutral,Sometimes,"Ran and tested the code in R, Checked documentation or help pages, Asked follow-up questions to the AI, Consulted classmates","Incorrect R syntax or arguments, Overcomplicated solutions, Misinterpretation of MAG/soil data",Agree,Disagree,Neutral,Neutral,Neutral,Neutral,Disagree,Agree,Slightly less engaged,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Clear,"Prompting strategies, Debugging with AI, Integrating AI with R",,10,2,"Without AI for this course, I doubt I would have been able to do the labs on my own I think the course name should be changed to ""Coding with R"" or something of a similar nature, because that is what the assignments were, going through the textbook While it was beneficial to get some exposure to R, it was not what I expected at all If I knew what it would be like beforehand, I would never have taken this course The time spent trying to resolve issues with no luck from AI and other sources added way too many hours into completing assignments I don't enjoy using AI and try to avoid it, but unfortunately with the way the class was formatted, I felt that there was no way I could have figured out the issues I had or solved the exercises without it"
"Yes, I consent to participate in this survey",None,Daily,Extremely helpful,Extremely helpful,Extremely helpful,Extremely helpful,Extremely helpful,Extremely helpful,Extremely helpful,Very helpful,All of the assignments like Making a graph for neon image data,In lab S3 Connecting a Github repo site with a new RStudio project It kept giving me wrong code to link and due to that the Lab was not loading ,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,About the same,3+ hrs,Agree,Agree,Strongly agree,Neutral,Neutral,Sometimes,"Ran and tested the code in R, Checked documentation or help pages, Consulted the instructor","Misinterpretation of MAG/soil data, Confident but unsupported claims",Neutral,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Much more engaged,Agree,Agree,Agree,Agree,Strong agree,Strong agree,Strong agree,Strong agree,Very clear,"Prompting strategies, Debugging with AI, Integrating AI with R",More activities in the beginning of the course,10,9,AI really helped understanding the coding
"Yes, I consent to participate in this survey",Some (one course or self-study),A few times per week,Extremely helpful,Extremely helpful,Extremely helpful,Extremely helpful,Extremely helpful,Extremely helpful,Very helpful,Very helpful,When I have difficulty running a code due to an error in it and I could not find a way to make the code work so I will put the code and the feedback that R gave me on copilot and ask the AI to help me understand how to fix the code ,"When AI will give me different variations of the same code and it will still not work even after going back and forth with it for 30 minutes It happened to me multiple times that I asked my classmates for help Another bad short examples will be AI using outdated syntax, complex code for simple tax and misinterpreting data types  ",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Higher,3+ hrs,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Sometimes,"Ran and tested the code in R, Checked documentation or help pages, Asked follow-up questions to the AI, Consulted classmates, Consulted the instructor","Hallucinated functions or packages, Incorrect R syntax or arguments, Overcomplicated solutions, Misinterpretation of MAG/soil data",Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Slightly less engaged,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strong agree,Strong agree,Neutral,Agree,Very clear,"Prompting strategies, Verifying AI output, Advanced analyses","I had hoped that the class would be more focused on the NEON Lab data and allow more time to work with it We only engaged with the dataset for the last 2 weeks of classes And while the previous R sessions did build foundational skills that definitely helped in analyzing the NEON Lab data, it would have been more beneficial to introduce and work with the data earlier during the course Because for me, doing so could have helped with better understanding the value of using coding tools for biological data",10,10,"Using AI made me more comfortable with coding, and I am actually applying what I learned to one of my classes for a project"
"Yes, I consent to participate in this survey",None,Daily,Extremely helpful,Extremely helpful,Extremely helpful,Extremely helpful,Extremely helpful,Extremely helpful,Extremely helpful,Extremely helpful,Anything I don’t know ai can help,"some wrong solution making everything complicated, ai love to Change environment for some reasones",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Much higher,2-3 hrs,Neutral,Strongly agree,Agree,Strongly agree,Strongly agree,Sometimes,"Ran and tested the code in R, Asked follow-up questions to the AI, Ignored or discarded AI suggestions","Hallucinated functions or packages, Incorrect R syntax or arguments, Overcomplicated solutions",Agree,Strongly agree,Agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Slightly more engaged,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strong agree,Strong agree,Strong agree,Strong agree,Clear,"Prompting strategies, Debugging with AI, Verifying AI output, Integrating AI with R, None",,10,10,
"Yes, I consent to participate in this survey",Very limited (a few tutorials or labs),About once per week,Very helpful,Extremely helpful,Moderately helpful,Very helpful,Moderately helpful,Very helpful,Moderately helpful,Slightly helpful,Not an exact example but the answers that included step by step explanations of the code were helpful,Not an exact example but the answers that misinterpreted the prompts or didn’t have the full data sets weren’t helpful,Agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Agree,Strongly agree,Strongly agree,Agree,About the same,1-2 hrs,Agree,Agree,Agree,Agree,Agree,Sometimes,"Ran and tested the code in R, Checked documentation or help pages, Asked follow-up questions to the AI, Consulted classmates, Consulted the instructor, Ignored or discarded AI suggestions","Overcomplicated solutions, Misinterpretation of MAG/soil data, Confident but unsupported claims",Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Slightly more engaged,Neutral,Neutral,Strongly agree,Agree,Agree,Agree,Agree,Agree,Clear,"Debugging with AI, Integrating AI with R, Advanced analyses","Have a class specifically for how to ask copilot for help with R coding, including how to write a helpful prompt and dissect the answers so that you are able to use them in your actual code",8,6,None
"Yes, I consent to participate in this survey",None,A few times per week,Very helpful,Very helpful,Extremely helpful,Very helpful,Very helpful,Very helpful,Very helpful,Very helpful,"AI can help clean out a code chunk by replacing verbose patterns with simpler, more readable alternatives — for example, instead of writing filter(!isna(site_id), !isna(phylum)) %>% count(site_id, phylum), AI might suggest drop_na(site_id, phylum) %>% count(site_id, phylum), which is shorter and easier to understand","An unhelpful AI response might be overly vague, like ‘Just fix the code somehow’, which gives no actionable guidance Another incorrect response could confidently suggest a function or method that doesn’t exist, leaving the user confused and misled",Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Higher,1-2 hrs,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Sometimes,"Ran and tested the code in R, Checked documentation or help pages, Asked follow-up questions to the AI, Consulted classmates, Consulted the instructor, Ignored or discarded AI suggestions","Hallucinated functions or packages, Incorrect R syntax or arguments, Overcomplicated solutions, Misinterpretation of MAG/soil data",Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Slightly more engaged,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Clear,"Prompting strategies, Debugging with AI, Verifying AI output, Integrating AI with R",,9,9,
